Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Cluster,Cluster Label
17,68,2,2,0,8,70,2,1,2,2,2,0,2,4,0,1,2,0,64,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
14,60,2,1,1,10,65,1,1,0,0,2,0,2,3,0,0,2,1,60,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,70,1,2,1,6,82,2,1,1,1,0,1,1,3,0,1,2,0,65,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
15,80,2,2,1,9,91,1,1,3,1,2,1,2,2,0,0,1,0,67,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
12,75,2,0,1,7,58,2,1,3,2,2,0,2,4,0,0,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
29,78,2,2,0,5,99,0,1,0,0,2,1,0,1,0,1,1,0,69,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
19,99,2,0,0,6,84,2,1,1,2,0,1,1,3,0,1,2,1,72,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
20,74,2,0,0,8,89,1,1,1,2,2,1,0,2,0,0,1,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
11,78,0,2,1,8,100,0,1,1,1,2,1,1,3,0,1,1,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,65,1,0,1,5,75,2,1,2,1,2,1,2,3,0,1,2,0,63,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
21,62,0,1,1,6,54,0,1,0,0,0,1,2,3,0,2,0,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,0,65,1,
22,83,0,0,1,6,94,2,1,0,0,2,1,1,2,0,0,1,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
16,90,2,2,0,4,58,2,1,1,1,2,1,1,3,0,1,1,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
18,66,0,0,0,4,51,1,1,2,1,2,0,1,2,0,0,2,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
16,83,1,2,0,6,57,2,1,0,0,1,1,2,4,1,1,2,0,63,1,
31,70,2,0,1,7,66,2,1,1,0,2,1,0,3,0,0,2,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,69,2,2,1,8,96,2,1,2,2,0,1,2,3,0,1,2,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,0,68,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,1,61,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,0,64,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,0,67,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,0,63,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
21,65,1,2,1,6,98,1,1,1,2,0,1,0,4,0,1,2,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
24,68,0,2,0,8,56,1,1,3,0,0,1,1,1,0,0,2,1,67,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
21,84,2,2,1,6,52,1,1,1,2,0,1,1,2,1,0,0,0,65,3,
19,63,1,0,0,7,94,2,1,1,2,2,0,2,3,0,1,1,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
18,94,2,0,1,7,82,2,1,3,2,2,0,0,2,1,0,2,1,70,2,
11,98,2,2,1,9,82,1,1,1,2,2,0,2,3,0,2,0,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
16,70,2,2,1,8,98,2,1,2,2,2,1,2,3,0,1,1,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,78,2,2,1,6,88,2,1,1,2,0,0,2,3,0,0,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
26,61,2,1,1,6,70,2,1,2,1,2,1,2,3,0,1,1,0,64,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
22,86,1,2,1,7,72,1,1,3,1,0,1,2,2,0,1,1,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
9,77,2,2,0,5,57,2,1,2,2,0,1,1,3,0,1,2,1,63,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
22,71,1,2,1,7,65,1,1,1,2,1,1,2,4,0,0,1,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
18,68,0,2,0,7,72,2,1,0,2,2,1,1,3,0,0,2,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
16,86,1,2,1,8,63,2,1,2,2,2,1,2,4,0,1,2,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
24,77,0,1,0,8,96,2,1,0,2,2,1,1,3,0,1,2,0,67,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
26,67,2,0,1,7,51,1,1,2,0,0,0,1,4,1,2,0,0,66,3,
26,88,2,0,1,5,79,2,1,1,1,0,0,2,4,0,0,1,1,72,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
15,83,2,0,0,5,89,1,0,1,2,0,1,1,2,1,1,2,0,65,1,
18,94,2,2,1,6,87,0,1,1,2,2,1,2,4,0,1,2,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,65,0,1,0,8,82,2,1,2,2,0,1,2,1,0,2,2,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
26,91,2,1,1,8,71,2,1,0,1,2,0,1,3,0,1,1,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,87,2,2,0,7,96,2,1,1,0,2,1,0,5,0,2,2,0,70,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
19,65,2,2,1,10,66,1,1,0,1,2,1,2,3,0,1,1,1,62,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
13,88,1,0,1,9,88,0,1,2,1,0,0,0,4,0,2,0,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
13,78,2,0,1,9,96,0,1,2,1,2,1,1,3,0,0,1,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
25,98,1,0,1,8,56,2,0,0,2,0,0,1,3,0,2,2,1,71,2,
28,66,2,0,1,8,97,2,1,0,2,2,1,1,2,0,1,2,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,86,2,2,1,8,89,2,1,1,1,2,1,0,3,0,2,2,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
26,75,1,0,1,4,81,0,1,3,2,0,0,2,2,0,1,1,1,70,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,98,2,0,0,5,69,1,0,1,1,0,1,0,4,0,1,1,0,69,1,
16,73,2,2,0,7,95,2,1,1,1,2,1,0,4,0,0,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
22,98,2,1,1,7,52,2,0,3,2,2,1,2,3,0,0,2,0,70,3,
29,96,2,1,1,7,72,2,1,1,1,2,1,2,3,0,1,1,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,71,2,2,1,7,88,2,1,1,1,1,1,1,4,0,0,2,0,65,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
29,92,1,2,0,4,91,2,1,2,2,2,1,0,1,0,2,2,0,72,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,1,69,2,
25,70,2,2,0,7,52,2,1,1,2,2,1,2,3,0,2,2,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
21,77,1,2,1,7,90,2,1,4,2,2,0,1,3,0,2,1,1,68,2,
18,81,0,1,1,8,71,2,1,0,2,2,1,1,3,0,1,1,0,65,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
21,72,2,2,1,5,57,2,1,1,0,2,1,1,5,1,0,1,1,64,2,
8,61,2,2,1,7,54,2,1,1,0,2,1,2,3,0,0,2,1,60,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
19,69,2,0,1,7,82,0,1,1,1,2,1,0,2,0,1,2,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,71,0,2,0,6,79,0,1,1,1,1,1,2,3,0,1,2,1,66,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
29,78,0,0,1,4,93,1,1,5,2,0,1,1,3,0,0,2,1,74,2,
17,67,2,2,1,5,52,0,1,2,2,2,0,0,3,0,1,0,0,62,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
15,95,2,2,0,7,93,2,1,2,1,2,1,2,4,0,0,1,1,70,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
17,88,2,0,1,7,94,1,1,0,2,2,1,1,3,0,1,2,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
25,63,2,0,1,7,72,2,1,3,2,0,0,0,4,0,0,0,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,86,1,1,0,6,54,2,1,2,2,2,1,1,0,0,1,1,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
17,86,2,0,0,5,97,0,1,3,0,2,1,1,3,0,0,2,1,71,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
23,98,2,1,1,7,54,1,1,0,2,2,1,0,3,0,0,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
21,60,0,2,0,7,80,2,1,0,2,0,1,1,4,1,0,2,1,64,0,
26,70,2,1,1,8,75,2,1,1,2,1,0,1,4,1,1,0,0,63,3,
16,97,2,2,1,6,92,1,1,0,0,2,0,2,4,0,0,2,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
18,97,0,2,1,4,75,1,1,0,1,2,1,2,3,0,1,1,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
18,89,0,2,1,4,73,2,1,3,0,2,0,2,2,0,0,2,0,100,3,
11,91,2,2,0,6,94,2,1,3,2,2,1,1,3,0,0,1,1,68,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
22,64,1,2,0,7,98,1,0,1,2,2,1,0,3,0,1,2,1,62,0,
22,81,2,2,1,7,77,1,1,2,2,2,1,2,3,0,2,0,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
20,69,0,0,1,6,73,2,1,2,1,2,0,2,3,0,1,0,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
19,67,1,2,0,5,92,0,1,0,2,2,1,2,3,0,0,2,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
12,92,2,2,0,4,92,0,1,2,2,0,1,1,3,1,1,1,1,67,0,
17,65,2,0,1,8,66,2,1,1,0,0,1,1,4,1,2,1,0,65,3,
18,79,2,2,1,7,79,2,1,0,1,0,0,1,3,0,0,0,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
15,98,0,2,0,6,58,0,1,0,1,0,1,2,3,0,0,2,1,69,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
19,67,2,2,0,5,82,0,1,1,1,1,0,0,3,0,1,2,1,63,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
22,99,2,1,1,6,92,1,1,3,2,2,1,0,4,0,2,1,1,72,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
31,100,2,2,0,7,59,2,1,2,0,0,1,2,5,0,2,1,1,76,0,
21,82,2,0,1,7,66,0,1,3,1,2,1,2,3,1,0,2,0,69,3,
22,67,2,2,1,7,72,0,1,3,1,0,1,2,2,0,2,1,0,67,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
20,73,0,2,1,9,92,2,1,2,2,0,1,2,3,0,0,2,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
8,77,0,2,1,6,87,2,1,0,1,2,1,1,2,0,1,1,1,63,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,72,2,2,0,9,66,2,1,3,1,0,0,2,3,0,2,2,1,67,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
20,71,1,0,1,7,62,0,1,2,2,2,1,0,5,0,0,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,0,79,3,
19,66,2,2,0,8,74,2,1,1,0,2,1,1,3,0,1,2,0,64,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
22,89,0,0,1,6,80,2,1,1,0,0,1,2,3,0,1,2,0,73,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
20,60,1,0,0,7,82,0,1,2,1,0,1,2,4,1,1,2,1,63,0,
13,84,2,2,0,5,78,2,1,1,1,0,1,2,2,0,1,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
27,97,1,0,1,8,81,2,1,0,0,2,1,2,5,0,1,2,0,73,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
25,72,0,0,1,8,94,1,1,2,1,2,0,2,4,0,0,1,0,70,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
25,67,0,2,0,9,93,0,1,2,1,0,1,2,3,1,1,2,0,68,1,
15,86,2,2,1,7,57,2,1,1,2,2,1,0,3,0,0,2,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
28,89,1,0,1,9,79,0,1,0,1,2,0,2,1,0,0,1,0,71,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
12,88,1,2,0,6,72,1,1,2,2,2,1,2,2,0,0,0,1,64,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
24,73,2,0,1,8,64,2,1,4,0,2,0,1,3,1,0,1,1,68,2,
33,70,2,2,1,6,82,1,1,1,1,0,1,1,4,0,0,2,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
14,98,2,2,0,7,76,2,1,0,2,0,0,2,4,0,0,1,0,69,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
21,78,2,2,1,10,55,2,1,1,0,1,0,2,2,0,0,2,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,94,1,2,1,8,65,1,1,4,2,2,1,1,6,0,1,0,0,68,3,
11,78,2,0,1,8,51,2,1,2,1,2,1,1,3,0,2,2,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,77,2,2,0,6,87,1,1,0,1,0,1,2,4,0,1,2,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
14,66,0,1,0,7,96,2,1,3,1,0,1,0,3,0,1,2,1,63,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
23,77,2,2,1,7,79,2,1,0,1,0,1,1,2,0,1,1,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
14,81,2,2,0,9,81,2,1,1,1,0,0,0,3,0,2,2,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
29,61,2,0,1,7,52,1,1,3,1,2,0,2,3,0,0,2,0,67,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
15,78,0,0,0,9,75,1,1,1,1,2,1,0,1,0,1,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
18,91,1,2,1,5,76,2,1,1,2,2,1,1,3,0,1,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
25,87,2,1,0,9,52,0,1,1,1,0,0,2,2,0,1,2,1,68,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
13,85,0,2,0,6,89,2,1,0,0,2,0,1,1,1,1,2,1,65,0,
21,96,2,2,0,8,64,0,1,2,2,0,1,1,0,0,0,2,1,71,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
28,61,2,0,0,6,86,0,1,1,1,2,0,0,3,1,2,0,1,65,0,
10,82,2,1,0,8,70,2,1,3,1,0,1,2,1,1,2,2,0,64,1,
21,91,0,2,0,6,100,2,1,0,0,2,0,1,2,0,2,2,0,72,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
22,82,2,2,0,9,61,2,1,2,1,2,1,0,2,1,1,2,0,65,1,
25,73,2,0,0,8,53,0,0,0,1,0,0,0,5,0,2,2,0,66,1,
13,65,1,0,0,6,99,2,1,0,1,2,0,0,4,0,1,2,1,61,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
12,96,1,0,1,8,62,2,1,2,2,0,1,0,3,0,0,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
23,79,0,0,1,8,82,1,1,3,2,2,1,0,3,1,2,1,0,69,3,
22,95,2,0,1,6,69,2,1,1,1,2,1,2,3,0,0,2,0,72,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
22,83,2,0,1,5,82,2,1,2,1,0,1,2,3,0,2,2,0,71,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
22,87,0,0,0,5,80,1,1,2,1,0,1,0,3,0,1,2,0,70,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
16,92,2,0,1,5,85,1,1,1,1,2,1,1,2,0,1,1,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
21,86,1,2,1,5,51,2,1,2,1,0,1,2,2,0,1,1,0,67,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
22,76,2,2,1,8,92,2,1,1,1,0,1,1,4,0,1,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
16,81,2,2,1,8,74,2,1,3,2,2,1,2,2,0,2,2,0,68,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
31,92,2,2,1,4,76,2,1,2,2,0,1,2,4,1,1,0,1,72,2,
23,75,1,0,0,6,71,1,1,0,2,2,1,1,2,0,0,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
13,76,2,0,0,5,99,1,1,2,2,2,0,2,4,0,1,2,0,66,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
24,64,2,2,1,8,90,0,1,0,1,0,1,0,3,0,1,2,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
14,97,2,2,1,6,66,2,1,2,2,2,1,0,3,1,0,2,0,67,3,
25,64,2,0,0,5,89,1,1,2,2,2,1,1,4,0,0,0,1,66,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
27,86,2,2,0,7,72,1,1,1,2,0,1,2,4,0,1,0,1,69,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
15,77,2,2,1,8,94,1,1,0,0,0,1,2,3,0,0,1,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
26,76,2,0,1,6,52,2,1,4,0,1,1,1,3,0,1,2,1,69,2,
22,87,0,1,1,7,68,2,0,0,1,2,1,1,2,0,1,2,1,67,2,
25,63,0,2,1,6,71,2,1,1,2,1,0,2,3,0,1,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
31,84,2,2,1,9,87,2,1,2,1,2,0,1,3,0,0,0,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
19,91,0,1,0,6,59,2,1,5,2,0,1,1,4,0,0,1,1,70,0,
15,93,0,2,0,6,64,2,1,2,2,0,1,2,4,0,2,2,1,71,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
15,67,2,2,1,7,86,0,1,1,0,2,0,2,3,0,2,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
15,96,2,2,0,7,54,0,0,3,2,0,1,0,2,0,1,2,1,67,0,
20,86,0,1,0,8,60,2,1,1,2,2,1,1,4,1,0,0,0,66,1,
22,95,2,0,0,9,88,1,1,0,1,0,1,2,2,0,2,2,1,72,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
22,79,2,2,0,9,94,2,1,1,2,2,1,2,3,0,1,2,1,68,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
25,82,2,2,0,6,86,2,0,3,1,0,1,2,3,0,1,2,0,69,1,
20,97,2,2,1,7,76,1,1,2,1,1,0,2,3,0,2,2,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
29,96,2,2,1,9,55,1,0,0,2,2,1,1,2,0,2,0,0,70,3,
18,78,2,2,0,9,91,0,1,2,0,1,1,1,4,0,0,0,0,67,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
36,71,2,2,1,6,56,2,1,2,0,2,1,2,2,0,1,0,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
24,76,1,0,0,8,69,1,1,2,2,2,1,1,1,0,1,1,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
15,76,0,0,0,8,53,2,1,1,1,2,1,1,4,0,0,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
14,71,2,2,1,8,85,1,1,2,2,0,1,1,4,0,1,2,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
23,71,1,1,1,9,75,1,1,1,1,2,1,0,2,0,0,2,1,63,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
19,94,1,2,1,5,95,2,1,3,1,1,1,2,2,0,1,1,1,69,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
24,63,2,1,1,6,57,2,1,1,1,0,0,1,5,0,0,2,0,64,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
23,87,0,0,1,8,91,0,1,0,0,2,0,2,3,0,1,1,1,72,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,67,1,2,1,7,76,2,1,0,2,2,1,1,4,0,1,2,1,63,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
15,74,1,0,1,4,68,1,1,3,1,2,1,2,3,0,1,2,0,64,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
11,62,2,0,1,5,82,2,1,3,0,2,0,1,4,0,0,1,1,64,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,71,2,2,1,8,90,2,1,5,2,2,1,2,1,0,2,0,1,67,2,
25,91,2,2,0,8,72,1,1,2,2,0,1,2,0,0,2,2,1,71,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
21,95,2,2,0,5,62,0,1,1,2,1,1,2,4,0,1,2,1,70,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
13,69,2,1,1,9,96,1,1,0,0,2,0,1,4,0,1,0,0,61,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
21,79,2,0,1,7,66,1,1,2,1,2,1,0,4,0,0,1,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
22,79,0,2,0,5,100,2,1,4,0,0,1,0,3,0,0,2,1,72,0,
15,95,1,1,1,6,88,1,1,1,1,2,1,0,5,0,1,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
21,91,2,0,1,5,84,2,1,1,0,1,1,1,2,0,1,2,1,70,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
20,81,0,2,1,6,51,0,0,3,2,2,1,1,4,1,1,2,1,67,2,
13,87,0,1,1,4,72,2,1,2,2,0,1,1,3,0,1,1,0,67,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
22,94,1,2,1,7,75,0,1,2,0,2,1,1,2,0,0,2,0,71,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
23,60,0,2,1,8,69,2,1,1,1,2,0,2,4,0,0,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
26,76,2,2,1,5,57,2,1,1,2,2,1,2,4,0,1,2,1,68,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
26,96,2,2,1,7,68,2,1,3,0,2,0,2,3,0,0,2,0,74,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
12,90,2,1,1,6,54,2,0,1,0,2,1,1,3,0,1,2,1,64,2,
14,82,2,2,0,8,65,2,1,1,1,2,0,2,3,0,0,2,1,65,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
